D_quadriceps22,,E1,C1,1.7
D_quadriceps22,,E1,C2,5.2
D_quadriceps22,,E1,J1,12.6
D_quadriceps22,,C4,J2,4.1
D_quadriceps22,,J1,C3,11.5
D_quadriceps22,,J1,C4,15.1
D_quadriceps22,,J2,C5,3.7
D_quadriceps22,,J2,J3,9.8
D_quadriceps22,,J3,J4,8.4
D_quadriceps22,,J3,J6,5.2
D_quadriceps22,,J3,J9,7.1
D_quadriceps22,,J4,J5,7.1
D_quadriceps22,,J4,C9,13.9
D_quadriceps22,,J5,C10,1.1
D_quadriceps22,,J5,C11,10.5
D_quadriceps22,,J6,C9,0.1
D_quadriceps22,,J6,J7,7.7
D_quadriceps22,,J7,C8,0.1
D_quadriceps22,,J7,J8,11.1
D_quadriceps22,,J8,C6,11.7
D_quadriceps22,,J8,C7,0.1
D_quadriceps22,,J9,C10,4
D_quadriceps22,,J9,C13,7.8
D_quadriceps22,,J9,C12,6.4
D_quadriceps22,,C13,C12,9.5
D_quadriceps22,,C13,END,17.5
