M_navajo1,,E1,C1,
M_navajo1,,C1,END1,T1
M_navajo1,,C1,J1,T2
M_navajo1,,J1,END2,T3
M_navajo1,,J1,END3,T4
M_navajo1,,J1,J2,T5
M_navajo1,,J2,C2,T6
M_navajo1,,J2,C3,T7
M_navajo1,,C2,C3,T8
M_navajo1,,C2,J3,T9
M_navajo1,,J3,END4,T10
M_navajo1,,J3,END5,T11
M_navajo1,,C3,C4,T12
M_navajo1,,C4,J4,T13
M_navajo1,,J4,C5,T14
M_navajo1,,J4,C6,T15
M_navajo1,,C6,END6,T16
M_navajo1,,J4,C7,T17
M_navajo1,,C7,C8,T18
M_navajo1,,C8,C9,T19
M_navajo1,,C9,C10,T20
M_navajo1,,C10,C11,T21
M_navajo1,,C11,C12,T22
M_navajo1,,C12,C13,T23
M_navajo1,,C13,C14,T24
