Myrmeco_navajo,,E1,C1,
Myrmeco_navajo,,C1,END1,T1
Myrmeco_navajo,,C1,J1,T2
Myrmeco_navajo,,J1,END2,T3
Myrmeco_navajo,,J1,END3,T4
Myrmeco_navajo,,J1,J2,T5
Myrmeco_navajo,,J2,C2,T6
Myrmeco_navajo,,J2,C3,T7
Myrmeco_navajo,,C2,C3,T8
Myrmeco_navajo,,C2,J3,T9
Myrmeco_navajo,,J3,END4,T10
Myrmeco_navajo,,J3,END5,T11
Myrmeco_navajo,,C3,C4,T12
Myrmeco_navajo,,C4,J4,T13
Myrmeco_navajo,,J4,C5,T14
Myrmeco_navajo,,J4,C6,T15
Myrmeco_navajo,,C6,END6,T16
Myrmeco_navajo,,J4,C7,T17
Myrmeco_navajo,,C7,C8,T18
Myrmeco_navajo,,C8,C9,T19
Myrmeco_navajo,,C9,C10,T20
Myrmeco_navajo,,C10,C11,T21
Myrmeco_navajo,,C11,C12,T22
Myrmeco_navajo,,C12,C13,T23
Myrmeco_navajo,,C13,C14,T24
