P_badius_290_new,,E1,C1
P_badius_290_new,,C1,J1
P_badius_290_new,,J1,C3
P_badius_290_new,,C3,C2
P_badius_290_new,,C2,C4
P_badius_290_new,,C2,C5
P_badius_290_new,,C3,C10
P_badius_290_new,,J1,C6
P_badius_290_new,,C6,C8
P_badius_290_new,,C8,C7
P_badius_290_new,,C10,C6
P_badius_290_new,,C5,C13
P_badius_290_new,,C10,C9
P_badius_290_new,,C5,C6
P_badius_290_new,,C10,C11
P_badius_290_new,,C10,C12
P_badius_290_new,,C13,C14
P_badius_290_new,,C6,C14
P_badius_290_new,,C14,C15
P_badius_290_new,,C15,C16
P_badius_290_new,,C15,C17
P_badius_290_new,,C17,C18
P_badius_290_new,,C18,C19
P_badius_290_new,,C18,C20
P_badius_290_new,,C20,C21
P_badius_290_new,,C21,J2
P_badius_290_new,,J2,C23
P_badius_290_new,,J2,C22
P_badius_290_new,,J2,J3
P_badius_290_new,,J3,C24
P_badius_290_new,,J3,C25
P_badius_290_new,,J3,C26
P_badius_290_new,,C26,J4
P_badius_290_new,,J4,C27
P_badius_290_new,,J4,C28
P_badius_290_new,,J4,C29
P_badius_290_new,,C29,C30
P_badius_290_new,,C30,C31
P_badius_290_new,,C31,C32
P_badius_290_new,,C32,C33
P_badius_290_new,,C33,C34
P_badius_290_new,,C34,C35
P_badius_290_new,,C35,C36
P_badius_290_new,,C36,C37
P_badius_290_new,,C37,C38
P_badius_290_new,,C38,C39
P_badius_290_new,,C39,C40
P_badius_290_new,,C40,C41
P_badius_290_new,,C41,C42
P_badius_290_new,,C42,C43
P_badius_290_new,,C43,C44
P_badius_290_new,,C44,C45
P_badius_290_new,,C45,C46
P_badius_290_new,,C46,C47
P_badius_290_new,,C47,C48
