P_imparis3,,E1,C1
P_imparis3,,E2,C1
P_imparis3,,C1,J1
P_imparis3,,J1,C2
P_imparis3,,J1,C3
P_imparis3,,J1,C4
P_imparis3,,C4,J2
P_imparis3,,J2,C5
P_imparis3,,J2,C6
P_imparis3,,C6,C7
P_imparis3,,C7,J3
P_imparis3,,J3,C8
P_imparis3,,J3,C9
P_imparis3,,J3,J4
P_imparis3,,J4,C10
P_imparis3,,J4,C11
P_imparis3,,J4,J5
P_imparis3,,J5,C12
P_imparis3,,J5,C13
P_imparis3,,J5,C14
P_imparis3,,C14,J6
P_imparis3,,J6,C15
P_imparis3,,J6,C16
P_imparis3,,J6,J7
P_imparis3,,J7,C17
P_imparis3,,J7,C18
P_imparis3,,J7,J8
P_imparis3,,J8,C19
P_imparis3,,J8,C20
P_imparis3,,J8,J9
P_imparis3,,J9,C21
P_imparis3,,C21,C22
P_imparis3,,J9,C23
P_imparis3,,C23,C24
